Order Date,Region,Category,Sub-Category,Segment,Sales
2015-01-03,Central,Office Supplies,Paper,Consumer,16.448
2015-01-04,Central,Office Supplies,Binders,Home Office,3.54
2015-01-04,Central,Office Supplies,Labels,Home Office,11.784
2015-01-04,Central,Office Supplies,Storage,Home Office,272.736
2015-01-05,East,Office Supplies,Art,Consumer,19.536
2015-01-06,South,Furniture,Chairs,Home Office,2573.82
2015-01-06,South,Office Supplies,Art,Corporate,12.78
2015-01-06,South,Office Supplies,Art,Home Office,5.48
2015-01-06,South,Office Supplies,Binders,Home Office,609.98
2015-01-06,South,Office Supplies,Fasteners,Home Office,31.12
2015-01-06,South,Office Supplies,Paper,Home Office,6.54
2015-01-06,South,Technology,Phones,Home Office,1147.94
2015-01-06,West,Office Supplies,Paper,Consumer,19.44
2015-01-07,Central,Furniture,Furnishings,Consumer,76.728
2015-01-07,Central,Office Supplies,Binders,Consumer,10.43
2015-01-09,Central,Office Supplies,Art,Consumer,9.344
2015-01-09,Central,Technology,Accessories,Consumer,31.2
2015-01-10,South,Furniture,Furnishings,Corporate,51.94
2015-01-10,South,Office Supplies,Labels,Corporate,2.89
2015-01-11,East,Furniture,Furnishings,Consumer,9.94
2015-01-13,East,Office Supplies,Binders,Consumer,3.438
2015-01-13,East,Office Supplies,Paper,Consumer,37.408
2015-01-13,South,Furniture,Chairs,Consumer,545.94
2015-01-13,South,Office Supplies,Binders,Corporate,5.64
2015-01-13,South,Office Supplies,Envelopes,Corporate,62.3
2015-01-13,South,Office Supplies,Storage,Corporate,572.58
2015-01-13,South,Technology,Accessories,Corporate,646.74
2015-01-13,West,Furniture,Bookcases,Consumer,333.999
2015-01-13,West,Office Supplies,Art,Consumer,19.9
2015-01-13,West,Office Supplies,Storage,Consumer,1325.85
2015-01-14,East,Furniture,Bookcases,Corporate,61.96
2015-01-15,South,Technology,Accessories,Consumer,149.95
2015-01-16,East,Furniture,Furnishings,Consumer,127.104
2015-01-16,East,Office Supplies,Binders,Consumer,18.588
2015-01-16,East,Office Supplies,Labels,Consumer,30.072
2015-01-16,East,Technology,Phones,Consumer,124.2
2015-01-18,West,Office Supplies,Appliances,Corporate,64.864
2015-01-19,West,Furniture,Bookcases,Consumer,181.47
2015-01-19,West,Office Supplies,Binders,Consumer,32.34
2015-01-19,West,Office Supplies,Envelopes,Consumer,108.72
2015-01-19,West,Office Supplies,Paper,Consumer,56.064
2015-01-20,Central,Furniture,Furnishings,Consumer,287.67
2015-01-20,Central,Office Supplies,Appliances,Consumer,247.716
2015-01-20,Central,Office Supplies,Art,Consumer,43.92
2015-01-20,Central,Office Supplies,Binders,Consumer,48.75
2015-01-20,Central,Office Supplies,Storage,Consumer,80.56
2015-01-20,South,Furniture,Chairs,Consumer,1067.94
2015-01-20,South,Furniture,Furnishings,Consumer,38.6
2015-01-20,South,Office Supplies,Art,Consumer,29.59
2015-01-20,South,Office Supplies,Binders,Corporate,67.194
2015-01-20,South,Office Supplies,Envelopes,Consumer,23.34
2015-01-20,South,Technology,Phones,Consumer,699.93
2015-01-20,West,Furniture,Furnishings,Consumer,19.3
2015-01-20,West,Office Supplies,Paper,Consumer,19.36
2015-01-23,West,Office Supplies,Paper,Consumer,40.08
2015-01-26,Central,Furniture,Bookcases,Corporate,141.96
2015-01-26,Central,Office Supplies,Binders,Corporate,10.68
2015-01-26,South,Furniture,Furnishings,Home Office,75.24
2015-01-26,South,Office Supplies,Paper,Home Office,36.120000000000005
2015-01-26,South,Office Supplies,Storage,Home Office,489.92
2015-01-26,South,Technology,Phones,Home Office,343.33
2015-01-27,West,Furniture,Tables,Consumer,333.0
2015-01-27,West,Office Supplies,Art,Consumer,36.44
2015-01-27,West,Office Supplies,Storage,Consumer,57.23
2015-01-28,East,Office Supplies,Binders,Consumer,3.928
2015-01-30,Central,Office Supplies,Paper,Consumer,10.56
2015-01-30,Central,Office Supplies,Storage,Consumer,229.94
2015-01-31,West,Furniture,Bookcases,Consumer,290.666
2015-02-01,Central,Technology,Accessories,Consumer,468.9
2015-02-02,South,Office Supplies,Binders,Consumer,18.336
2015-02-02,South,Technology,Phones,Consumer,180.96
2015-02-02,West,Office Supplies,Fasteners,Home Office,12.35
2015-02-03,West,Office Supplies,Binders,Consumer,97.11200000000001
2015-02-04,West,Office Supplies,Binders,Corporate,17.248
2015-02-04,West,Office Supplies,Binders,Home Office,82.896
